"contrast","Stock","Age","estimate","SE","df","z.ratio","p.value","full_sig"
"Treatment0.5 - Treatment1","42","0D",0.0099736576569932,0.505584409555409,Inf,0.0197269881517186,0.999785471312123,""
"Treatment0.5 - Treatment2","42","0D",-0.200443011723598,0.309864635508976,Inf,-0.646872823658484,0.794138368960823,""
"Treatment1 - Treatment2","42","0D",-0.210416669380591,0.499036072252593,Inf,-0.421646211727328,0.906665629425562,""
"Treatment0.5 - Treatment1","217","0D",-0.409592508590117,0.228483838498238,Inf,-1.79265418194239,0.172008226980132,""
"Treatment0.5 - Treatment2","217","0D",-0.16403521183502,0.312197374271309,Inf,-0.52542149727521,0.858888959878674,""
"Treatment1 - Treatment2","217","0D",0.245557296755096,0.287649837699999,Inf,0.853667426752374,0.669538434368894,""
"Treatment0.5 - Treatment1","42","2D",-0.0554349177797976,0.179304992472055,Inf,-0.309165500723228,0.948676705840899,""
"Treatment0.5 - Treatment2","42","2D",0.248251873838344,0.184962880863822,Inf,1.34217131934227,0.371769398894244,""
"Treatment1 - Treatment2","42","2D",0.303686791618142,0.137512363906038,Inf,2.20843263101528,0.0697428397990962,""
"Treatment0.5 - Treatment1","217","2D",0.111407461936589,0.121985545356009,Inf,0.913284124044788,0.631880751747945,""
"Treatment0.5 - Treatment2","217","2D",-0.100539280545523,0.12875630610092,Inf,-0.780849370334683,0.714816407008924,""
"Treatment1 - Treatment2","217","2D",-0.211946742482111,0.120332342899712,Inf,-1.76134476712344,0.182750400413409,""
"Treatment0.5 - Treatment1","42","5D",-1.26471965404289,0.428248972982097,Inf,-2.95323452905457,0.00882810015099667,"**"
"Treatment0.5 - Treatment2","42","5D",0.0477492185749888,0.692837704924109,Inf,0.0689183314297525,0.997384785005731,""
"Treatment1 - Treatment2","42","5D",1.31246887261788,0.564761207061746,Inf,2.32393595064043,0.052553823122644,""
"Treatment0.5 - Treatment1","217","5D",0.358029551563022,0.151432335254332,Inf,2.36428732979457,0.0474513200734865,"*"
"Treatment0.5 - Treatment2","217","5D",0.213679823264084,0.199380528146111,Inf,1.07171861390343,0.531670825078494,""
"Treatment1 - Treatment2","217","5D",-0.144349728298938,0.186429940578408,Inf,-0.774284043920658,0.718841263059722,""
