"","Treatment","Sex","Stock","O2pHr2.m","O2pHr2.v","O2pHr2.n","O2pHr2.min","O2pHr2.max","CO2pHr2.m","CO2pHr2.v","CO2pHr2.n","CO2pHr2.min","CO2pHr2.max","RQ.m","RQ.v","RQ.n","RQ.min","RQ.max"
"1","0.5","F","42",183.621713482923,2203.91734293218,13,117.307639444881,273.10392967033,146.62904278399,1731.55829137537,13,93.2691887389626,209.313230769231,0.797568998576636,0.00963824861052352,13,0.638977635782748,0.942989239445012
"2","0.5","F","217",167.299793082298,1500.25670456458,11,92.7231637695277,214.84182567861,132.436395430601,784.661605687296,11,81.4900278225439,176.012956149372,0.810605079232827,0.0269314262244442,11,0.56858407079646,1.12187584991976
"3","0.5","M","42",117.159741045593,1209.12501708834,12,70.0947330900823,164.078693439448,99.475988677149,1343.65491954127,12,49.7515402531646,144.432077108434,0.85235781499092,0.0413458559454087,12,0.482680534601002,1.17488789237668
"4","0.5","M","217",74.6632422972912,1857.11113323898,6,32.2301359658316,131.498070978347,75.466865746662,1145.55779318813,6,40.545837150945,112.712632267154,1.09671538584957,0.0503870398882926,6,0.857142857142857,1.4320987654321
"5","1","F","42",170.942509881609,1156.84039442414,14,108.019718910578,242.451684524116,145.353555615664,737.785690694246,14,100.634322580645,199.891132408443,0.859394149725234,0.0113976319978479,14,0.675531914893617,1.05339805825243
"6","1","F","217",154.150153890033,3761.21531443511,12,18.1779055098673,220.299300016199,121.004694177735,1828.46513257283,12,25.9038967144848,165.473682365108,0.841638697285433,0.0416292239708916,12,0.660504984778471,1.42502097947553
"7","1","M","42",125.993276884838,1305.65552876785,14,70.8740689655173,200.097371428571,108.412153009981,981.441391223682,14,48.71936,154.632607228916,0.869107961503653,0.0323822687414069,14,0.598870056497175,1.256038647343
"8","1","M","217",121.425756232232,765.67276871523,11,81.7806450528237,167.156932766211,118.598894625766,533.004509430557,11,80.3906103649714,154.648590858535,0.994826510133352,0.0254608879004405,11,0.741444866920152,1.27152317880795
"9","2","F","42",178.989970255995,1830.78275041513,15,96.019523196809,269.2144,137.710840737035,1129.55182991614,15,69.8230285766784,178.06412902077,0.772302782238612,0.0104712147435532,15,0.526047612300606,0.912236466287845
"10","2","F","217",161.971140449796,3510.3870878922,15,91.734888,306.814751020408,125.732346123456,2246.42079050715,15,84.3816752672043,265.924185448725,0.784925199662179,0.0131945687100422,15,0.532428355957768,0.994782608695652
"11","2","M","42",107.542725621093,560.516356646609,9,75.7874005830168,136.200247597852,114.276136084355,214.503012559988,9,82.3181201583512,131.486909090909,1.11003137095826,0.0917100270015883,9,0.850807222009935,1.63831048225537
"12","2","M","217",132.802359809819,1184.61825995673,10,54.3776880733945,173.5451201312,126.159097320351,556.975180735548,10,76.1287633027523,159.684729243053,0.991665354086923,0.0418062988794452,10,0.726389447912437,1.4
