Age,Treatment,Stock,Weights,sd
0,0.5,217,1.0562500000000001,0.10645030139302882
0,0.5,42,1.0742857142857143,0.07622984330948754
0,1,217,1.0529268292682927,0.19728461549800363
0,1,42,1.187,0.09067582513083566
0,2,217,1.0983870967741935,0.09219894338489096
0,2,42,1.0990909090909091,0.06482493908421919
2,0.5,217,1.1111111111111112,0.13392576716640872
2,0.5,42,1.1418181818181818,0.07480884731342707
2,1,217,1.2107142857142859,0.07579976514214534
2,1,42,1.2285714285714286,0.09081640296564848
2,2,217,1.1720689655172414,0.12184238385087127
2,2,42,1.1864516129032259,0.1332303365628308
4,0.5,217,1.1292857142857144,0.11465428206397006
4,0.5,42,1.116875,0.052758579794527125
4,1,217,1.276923076923077,0.0642111900144898
4,1,42,1.1727272727272728,0.08649750390513115
4,2,217,1.101,0.13980813921039678
4,2,42,1.17,0.207742973063213
6,0.5,217,1.136875,0.0745402575793779
6,0.5,42,1.1420000000000001,0.07174668080752278
6,1,217,1.2866666666666666,0.056778600932125084
6,1,42,1.1611111111111112,0.06313565641625275
6,2,217,1.1294117647058823,0.1220896488361777
6,2,42,1.0911764705882354,0.1148848528386781
8,0.5,217,1.1,0.14162324264449977
8,0.5,42,1.196923076923077,0.1208569826547488
8,1,217,1.276842105263158,0.06716915889329521
8,1,42,1.2416666666666667,0.10264826674945199
8,2,217,1.0731818181818182,0.09046895619289545
8,2,42,1.0053846153846153,0.08685384127135512
10,0.5,217,1.26,0.21125024654817962
10,0.5,42,1.1663157894736842,0.1371216218591603
10,1,217,1.1124324324324324,0.15894452920237098
10,1,42,1.1485714285714286,0.07177498416334449
10,2,217,1.2210526315789474,0.1499871971776656
10,2,42,1.0265384615384616,0.08385426919089133
