"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value","full_sig"
"1","0.5x - 1x","42","A",0.219155778790055,0.166117470288035,Inf,1.31928194192974,0.384374445070894,""
"2","0.5x - 2x","42","A",0.56330069430684,0.186406676093517,Inf,3.02189120106536,0.00709097244508161,"**"
"3","1x - 2x","42","A",0.344144915516785,0.200564377051392,Inf,1.7158825539024,0.199183671035982,""
"4","0.5x - 1x","217","A",-0.0660176296590771,0.14424007018979,Inf,-0.457692717233233,0.890971510984783,""
"5","0.5x - 2x","217","A",0.152918875111062,0.164905422020193,Inf,0.927312596746135,0.622980436184607,""
"6","1x - 2x","217","A",0.218936504770139,0.176164557131466,Inf,1.24279542000469,0.427917861209159,""
"7","0.5x - 1x","42","B",0.365321575367997,0.168468866271469,Inf,2.16848123604822,0.0766654365440856,""
"8","0.5x - 2x","42","B",0.487947788961044,0.192335673378322,Inf,2.53695937103284,0.0300716977296848,"*"
"9","1x - 2x","42","B",0.122626213593047,0.206413803039931,Inf,0.594079522721281,0.823298639800276,""
"10","0.5x - 1x","217","B",0.103929941516915,0.144924873686709,Inf,0.717129771260556,0.753347597276814,""
"11","0.5x - 2x","217","B",0.148567009859347,0.165356788690445,Inf,0.898463323072093,0.641272296324981,""
"12","1x - 2x","217","B",0.0446370683424322,0.176981609053316,Inf,0.252213032648976,0.965541592234805,""
"13","0.5x - 1x","42","C",-0.123466310991408,0.170372712268125,Inf,-0.724683603070794,0.748847350454281,""
"14","0.5x - 2x","42","C",0.280879094906323,0.189231667652917,Inf,1.48431337307402,0.29844145474243,""
"15","1x - 2x","42","C",0.404345405897731,0.20361022522672,Inf,1.98587966516658,0.11566304914668,""
"16","0.5x - 1x","217","C",0.207423717817472,0.146707573564984,Inf,1.41385828132174,0.333682616349115,""
"17","0.5x - 2x","217","C",0.154358350057294,0.167680672398408,Inf,0.92054944585706,0.627272348403395,""
"18","1x - 2x","217","C",-0.0530653677601778,0.178236646676884,Inf,-0.297724226468293,0.952313976125567,""
"19","0.5x - 1x","42","D",-0.0143369155167285,0.172238411249507,Inf,-0.0832387817137949,0.996187352955058,""
"20","0.5x - 2x","42","D",0.564947982000133,0.196653157336753,Inf,2.8728141955672,0.0113420358919065,"*"
"21","1x - 2x","42","D",0.579284897516862,0.207254800826215,Inf,2.79503729326201,0.0143620978156458,"*"
"22","0.5x - 1x","217","D",0.101357457663299,0.143877055658059,Inf,0.704472698580847,0.760842210919883,""
"23","0.5x - 2x","217","D",0.00953110538009608,0.16456503685352,Inf,0.0579169522416826,0.998152359145431,""
"24","1x - 2x","217","D",-0.0918263522832033,0.177253140533616,Inf,-0.518052046958167,0.862533869431334,""
